iter	RMSE
198	4.657503641
199	4.653387883
200	4.649998218
201	4.645131514
202	4.641416411
203	4.639827897
204	4.636066562
205	4.634171697
206	4.62885978
207	4.626163584
208	4.622559383
209	4.615779581
210	4.609399589
211	4.606577759
212	4.598455431
213	4.593865721
214	4.58830544
215	4.585396888
216	4.580079889
217	4.578623277
218	4.573987075
219	4.569134598
220	4.565343546
221	4.560351729
222	4.555525288
223	4.551383935
224	4.545176771
225	4.544695358
226	4.539507532
227	4.535464926
228	4.532386
229	4.527887237
230	4.523694781
231	4.520588843
232	4.516659277
233	4.513266731
234	4.508799243
235	4.505167742
236	4.501462467
237	4.497365746
238	4.493467988
239	4.490213917
240	4.486861741
241	4.484034256
242	4.480596863
243	4.478493016
244	4.474961363
245	4.469677711
246	4.467384193
247	4.463620554
248	4.460350397
249	4.458220692
250	4.453752229
251	4.451235937
252	4.447663828
253	4.44488362
254	4.442163968
255	4.438754503
256	4.43681879
257	4.434882081
258	4.427297399
259	4.424578004
260	4.421418454
261	4.416461911
262	4.413686338
263	4.406811995
264	4.403606691
265	4.400718089
266	4.398644042
267	4.393705162
268	4.389113034
269	4.385008406
270	4.381406442
271	4.378033489
272	4.376210991
273	4.374189362
274	4.373980655
275	4.367609738
276	4.365900963
277	4.362767083
278	4.359872825
279	4.355211123
280	4.350405851
281	4.345696989
282	4.342398167
283	4.339314413
284	4.336170694
285	4.333306426
286	4.328574564
287	4.326089438
288	4.320881652
289	4.317790529
290	4.315084652
291	4.311652775
292	4.308281634
293	4.304048353
294	4.299232204
295	4.296108625
296	4.291958774
297	4.288272434
298	4.285826644
299	4.283544498
300	4.281418983
301	4.277865584
302	4.270764166
303	4.268970268
304	4.267971391
305	4.263626424
306	4.258189705
307	4.255814212
308	4.249091066
309	4.247591117
310	4.243531367
311	4.241850835
312	4.236026347
313	4.23344916
314	4.230739828
315	4.225655008
316	4.223945701
317	4.221245134
318	4.21680552
319	4.214309053
320	4.210673401
321	4.205355628
322	4.204350268
323	4.198945717
324	4.192720334
325	4.189241696
326	4.188619342
327	4.188254875
328	4.183875203
329	4.181173446
330	4.179204609
331	4.173951909
332	4.169596732
333	4.164528162
334	4.15860206
335	4.155311691
336	4.152729635
337	4.147861886
338	4.142037258
339	4.141855092
340	4.140397478
341	4.138312697
342	4.135328204
343	4.131596143
344	4.127384773
345	4.123504101
346	4.119712376
347	4.117264023
348	4.114219976
349	4.109199068
350	4.105704897
351	4.102868554
352	4.099909527
353	4.095551604
354	4.09080623
355	4.085555401
356	4.082199509
357	4.078856648
358	4.077584145
359	4.074542929
360	4.073467236
361	4.071424214
362	4.068278794
363	4.064330916
364	4.063331899
365	4.0604365
366	4.053750539
367	4.051056884
368	4.048521359
369	4.04326477
370	4.040443485
371	4.037278235
372	4.036369961
373	4.034323759
374	4.030564447
375	4.023930248
376	4.022526978
377	4.02053463
378	4.018607487
379	4.014784969
380	4.009434818
381	4.00707393
382	4.00501977
383	4.002887442
384	3.999167065
385	3.99636478
386	3.992692832
387	3.991997941
388	3.990975682
389	3.990525013
390	3.989276024
391	3.981990242
392	3.977681101
393	3.97421301
394	3.969582827
395	3.968568041
396	3.965665833
397	3.959938731
398	3.957904724
399	3.953363169
400	3.950140792
401	3.945883242
402	3.941526365
403	3.9393055
404	3.935173689
405	3.933547606
406	3.930986557
407	3.92799464
408	3.926184062
409	3.923328705
410	3.918757319
411	3.916249308
412	3.913012351
413	3.907746163
414	3.905629865
415	3.902520633
416	3.900788493
417	3.899467489
418	3.895728775
419	3.89355663
420	3.888247826
421	3.886322444
422	3.88420187
423	3.880711674
424	3.8783504
425	3.874896081
426	3.870879152
427	3.86723245
428	3.864443444
429	3.862885431
430	3.857233115
431	3.855772992
432	3.853542844
433	3.853071215
434	3.85158001
435	3.848767209
436	3.844590949
437	3.842660139
438	3.84135188
439	3.835981395
440	3.833241664
441	3.831383718
442	3.826737742
443	3.825840189
444	3.824234118
445	3.821974915
446	3.820592775
447	3.817084408
448	3.815855249
449	3.811117045
450	3.808703042
451	3.805670122
452	3.804316133
453	3.802912009
454	3.801701263
455	3.800434912
456	3.799828428
457	3.796920146
458	3.792619822
459	3.790368822
460	3.788646424
461	3.788558201
462	3.7871845
463	3.781892796
464	3.778678674
465	3.77674939
466	3.772972534
467	3.769759113
468	3.766460814
469	3.763870586
470	3.758173949
471	3.757503032
472	3.752898953
473	3.752144793
474	3.751359348
475	3.749364264
476	3.744095722
477	3.741327273
478	3.740447302
479	3.738040581
480	3.737402165
481	3.736273174
482	3.733989351
483	3.732514729
484	3.728598537
485	3.726839988
486	3.725324363
487	3.722936468
488	3.722201149
489	3.719594787
490	3.717364998
491	3.713223296
492	3.711466602
493	3.710558041
494	3.708519247
495	3.703271231
496	3.701515269
497	3.700291695
498	3.692192748
499	3.689600658
500	3.685981052
501	3.684398222
502	3.681489739
503	3.676777869
504	3.673208423
505	3.671499396
506	3.6704185
507	3.667972829
508	3.666827392
509	3.665568317
510	3.663976534
511	3.663068155
512	3.661899307
513	3.660121934
514	3.656658112
515	3.654602291
516	3.654033988
517	3.651512393
518	3.649747509
519	3.648141801
520	3.646344944
521	3.642673373
522	3.641982389
523	3.638247635
524	3.635545701
525	3.633314966
526	3.631601256
527	3.630664868
528	3.62934957
529	3.626506827
530	3.623853906
531	3.621591444
532	3.619397839
533	3.618633824
534	3.616708789
535	3.615085762
536	3.60942121
537	3.605580966
538	3.604910139
539	3.601254651
540	3.599937654
541	3.597596794
542	3.594001515
543	3.591272777
544	3.588207876
545	3.586707697
546	3.584756163
547	3.583505177
548	3.578326251
549	3.576156957
550	3.574942515
551	3.573823349
552	3.573495687
553	3.573120231
554	3.573016964
555	3.570368976
556	3.567315129
557	3.56467086
558	3.561760496
559	3.557197404
560	3.555064597
561	3.553122051
562	3.549498976
563	3.548066476
564	3.545809567
565	3.544491627
566	3.544116974
567	3.540775522
568	3.539657696
569	3.535370826
570	3.534482127
571	3.53400826
572	3.532628721
573	3.532215635
574	3.530574843
575	3.526695929
576	3.52509623
577	3.522733803
578	3.520445004
579	3.519473117
580	3.516292486
581	3.515155276
582	3.514251992
583	3.511166478
584	3.509364471
585	3.50840339
586	3.507201189
587	3.506214488
588	3.504542026
589	3.503433503
590	3.500705113
591	3.499548525
592	3.49743565
593	3.494198117
594	3.489720879
595	3.488728568
596	3.48689332
597	3.482106952
598	3.481364698
599	3.477283574
600	3.473340406
601	3.46994346
602	3.467540172
603	3.465843171
604	3.464405827
605	3.462541779
606	3.459154311
607	3.457428351
608	3.450562338
609	3.449685527
610	3.44893094
611	3.44565443
612	3.444608276
613	3.442267275
614	3.439440349
615	3.437886028
616	3.436912254
617	3.432432252
618	3.431299736
619	3.430464256
620	3.429313838
621	3.424774655
622	3.42440426
623	3.42121377
624	3.41950821
625	3.415759132
626	3.412005646
627	3.411913811
628	3.411367387
629	3.409366575
630	3.408073193
631	3.405074294
632	3.400914044
633	3.398231171
634	3.398170646
635	3.395335356
636	3.393803217
637	3.393569923
638	3.390975969
639	3.389681059
640	3.387552972
641	3.384668058
642	3.381668069
643	3.380972864
644	3.379307856
645	3.375888538
646	3.373783174
647	3.370712566
648	3.370347983
649	3.367685165
650	3.366844398
651	3.366118813
652	3.363189408
653	3.360191299
654	3.357267667
655	3.354785142
656	3.352495679
657	3.349489966
658	3.347684187
659	3.34637601
660	3.344158455
661	3.33893112
662	3.33761885
663	3.333526262
664	3.332809672
665	3.332238338
666	3.331185199
667	3.32992255
668	3.328743362
669	3.327428514
670	3.325930009
671	3.324346221
672	3.324030062
673	3.321462836
674	3.320125052
675	3.319211074
676	3.316626828
677	3.315095013
678	3.313207342
679	3.308470886
680	3.307063097
681	3.303607587
682	3.301005288
683	3.299680662
684	3.296840302
685	3.292814574
686	3.291671912
687	3.291436077
688	3.29049047
689	3.28982723
690	3.289245945
691	3.286703289
692	3.286216238
693	3.285299961
694	3.281716077
695	3.279496275
696	3.277091478
697	3.275987317
698	3.275521924
699	3.27269541
700	3.270038573
701	3.267993679
702	3.264923357
703	3.262181764
704	3.258005394
705	3.255698787
706	3.251105785
707	3.249287067
708	3.246815221
709	3.244931112
710	3.243275145
711	3.239120794
712	3.236688598
713	3.235437935
714	3.235244546
715	3.235021705
716	3.234631025
717	3.232978415
718	3.232676305
719	3.228932171
720	3.227579531
721	3.225928404
722	3.225346481
723	3.224382502
724	3.223884707
725	3.22104409
726	3.220640897
727	3.21998947
728	3.216799189
729	3.214545872
730	3.211504386
731	3.210212998
732	3.209346786
733	3.208192938
734	3.205335634
735	3.203183092
736	3.20189595
737	3.200773671
738	3.198682419
739	3.197136787
740	3.196302091
741	3.191228271
742	3.189069447
743	3.188141768
744	3.187516973
745	3.187032064
746	3.186798223
747	3.18662495
748	3.18532362
749	3.182837081
750	3.180466966
751	3.180279265
752	3.179566694
753	3.176108659
754	3.175814997
755	3.173113271
756	3.172912773
757	3.171969297
758	3.170254943
759	3.170100647
760	3.166303398
761	3.16526526
762	3.160063925
763	3.158217627
764	3.155072713
765	3.153883731
766	3.153334825
767	3.149803342
768	3.144833987
769	3.140905243
770	3.140764137
771	3.136570012
772	3.135765132
773	3.133185541
774	3.130813799
775	3.129541634
776	3.125452963
777	3.123335791
778	3.122955423
779	3.120575984
780	3.119781481
781	3.118664346
782	3.117292121
783	3.116091041
784	3.115072564
785	3.109720409
786	3.107145954
787	3.105480519
788	3.104997526
789	3.104892605
790	3.102997944
791	3.102022957
792	3.101126482
793	3.099393892
794	3.098556324
795	3.095146456
796	3.092102561
797	3.090031265
798	3.088189751
799	3.086996833
800	3.086482893
801	3.084635677
802	3.083568904
803	3.081852413
804	3.078643877
805	3.077843553
806	3.076800177
807	3.075759586
808	3.072509778
809	3.070971479
810	3.069878931
811	3.066730764
812	3.063136964
813	3.061645188
814	3.059788948
815	3.056993135
816	3.056274071
817	3.055415762
818	3.053816676
819	3.052871801
820	3.051492484
821	3.048732108
822	3.046676063
823	3.044976079
824	3.043853375
825	3.043349212
826	3.038683734
827	3.037876204
828	3.035012678
829	3.033158341
830	3.033079785
831	3.03072102
832	3.03058487
833	3.029871069
834	3.029248604
835	3.027189684
836	3.026123607
837	3.025604235
838	3.024801264
839	3.023801493
840	3.021121299
841	3.018851056
842	3.015957287
843	3.012248077
844	3.011261388
845	3.010720219
846	3.009894583
847	3.009198769
848	3.007060623
849	3.004587442
850	3.003467738
851	3.001695432
852	2.999829688
853	2.997209321
854	2.99450044
855	2.993064067
856	2.99164127
857	2.991549087
858	2.988927817
859	2.988687016
860	2.987738224
861	2.98693571
862	2.982326517
863	2.979578431
864	2.978539982
865	2.974933946
866	2.973749353
867	2.972374041
868	2.969896815
869	2.969039852
870	2.96803554
871	2.966319825
872	2.962687351
873	2.962369143
874	2.961338013
875	2.960233474
876	2.959670942
877	2.956369755
878	2.954904045
879	2.952397683
880	2.95165237
881	2.950936276
882	2.949639221
883	2.947546419
884	2.946492
885	2.943296028
886	2.941203582
887	2.939974256
888	2.939957666
889	2.935964715
890	2.935281417
891	2.93352628
892	2.933472887
893	2.930269398
894	2.929288513
895	2.928567423
896	2.928108965
897	2.926874816
898	2.925952107
899	2.922759185
900	2.920793749
901	2.917360984
902	2.916990218
903	2.916224145
904	2.915063629
905	2.910858605
906	2.909528154
907	2.907186509
908	2.906846155
909	2.905521227
910	2.904605644
911	2.903665581
912	2.903022909
913	2.901223884
914	2.899393028
915	2.897453483
916	2.896101607
917	2.895517688
918	2.89274559
919	2.892477586
920	2.891586277
921	2.890416923
922	2.888946587
923	2.887758464
924	2.887698129
925	2.887229756
926	2.886210024
927	2.885151013
928	2.882406268
929	2.881763383
930	2.880167658
931	2.878754607
932	2.876519713
933	2.872335463
934	2.86832877
935	2.867566464
936	2.865519413
937	2.865133684
938	2.864717533
939	2.863568586
940	2.862218389
941	2.857917701
942	2.855929839
943	2.855679484
944	2.853548816
945	2.851487611
946	2.850772926
947	2.849428692
948	2.849065771
949	2.847343897
950	2.84640012
951	2.844685108
952	2.841673437
953	2.841451619
954	2.838492149
955	2.834724235
956	2.83105551
957	2.830812144
958	2.829859006
959	2.827756114
960	2.826500004
961	2.823389582
962	2.821982959
963	2.821250792
964	2.818126348
965	2.815341131
966	2.811782245
967	2.809236731
968	2.808517729
969	2.806240169
970	2.8057271
971	2.80419909
972	2.803357036
973	2.802319219
974	2.801717414
975	2.798546811
976	2.797957124
977	2.795461218
978	2.792031582
979	2.789900866
980	2.788220994
981	2.785829588
982	2.785341223
983	2.782880484
984	2.781445595
985	2.780685614
986	2.77933156
987	2.776439884
988	2.772629806
989	2.772592575
990	2.771011902
991	2.769733615
992	2.769147278
993	2.768017412
994	2.765131794
995	2.763788478
996	2.763434474
997	2.762271053
998	2.760906467
999	2.759743072
